0,1,396,299,550,683,1,-1,-1,-1
1,1,396,299,550,683,1,-1,-1,-1
2,1,396,299,550,683,1,-1,-1,-1
3,1,396,299,550,683,1,-1,-1,-1
4,1,396,299,550,683,1,-1,-1,-1
5,1,396,299,550,683,1,-1,-1,-1
6,1,396,299,550,683,1,-1,-1,-1
7,1,396,299,550,683,1,-1,-1,-1
8,1,396,299,550,683,1,-1,-1,-1
9,1,396,299,550,683,1,-1,-1,-1
10,1,396,299,550,683,1,-1,-1,-1
11,1,396,299,550,683,1,-1,-1,-1
12,1,396,299,550,683,1,-1,-1,-1
13,1,396,299,550,683,1,-1,-1,-1
14,1,396,299,550,683,1,-1,-1,-1
15,1,396,299,550,683,1,-1,-1,-1
16,1,396,299,550,683,1,-1,-1,-1
17,1,396,299,550,683,1,-1,-1,-1
18,1,396,299,550,683,1,-1,-1,-1
19,1,396,299,550,683,1,-1,-1,-1
20,1,396,299,550,683,1,-1,-1,-1
21,1,396,299,550,683,1,-1,-1,-1
22,1,396,299,550,683,1,-1,-1,-1
23,1,396,299,550,683,1,-1,-1,-1
24,1,396,299,550,683,1,-1,-1,-1
25,1,396,299,550,683,1,-1,-1,-1
26,1,396,299,550,683,1,-1,-1,-1
26,1,396,299,550,683,1,-1,-1,-1
27,1,396,299,550,683,1,-1,-1,-1
28,1,396,299,550,683,1,-1,-1,-1
29,1,396,299,550,683,1,-1,-1,-1
30,1,396,299,550,683,1,-1,-1,-1
31,1,396,299,550,683,1,-1,-1,-1
32,1,396,299,550,683,1,-1,-1,-1
33,1,396,299,550,683,1,-1,-1,-1
34,1,396,299,550,683,1,-1,-1,-1
35,1,396,299,550,683,1,-1,-1,-1
36,1,396,299,550,683,1,-1,-1,-1
37,1,396,299,550,683,1,-1,-1,-1
38,1,396,299,550,683,1,-1,-1,-1
39,1,396,299,550,683,1,-1,-1,-1
40,1,396,299,550,683,1,-1,-1,-1
41,1,396,299,550,683,1,-1,-1,-1
42,1,396,299,550,683,1,-1,-1,-1
43,1,396,299,550,683,1,-1,-1,-1
44,1,396,299,550,683,1,-1,-1,-1
45,1,396,299,550,683,1,-1,-1,-1
46,1,396,299,550,683,1,-1,-1,-1
47,1,396,299,550,683,1,-1,-1,-1
48,1,396,299,550,683,1,-1,-1,-1
49,1,396,299,550,683,1,-1,-1,-1
50,1,396,299,550,683,1,-1,-1,-1
51,1,396,299,550,683,1,-1,-1,-1
52,1,396,299,550,683,1,-1,-1,-1
53,1,396,299,550,683,1,-1,-1,-1
54,1,396,299,550,683,1,-1,-1,-1
55,1,396,299,550,683,1,-1,-1,-1
56,1,396,299,550,683,1,-1,-1,-1
57,1,396,299,550,683,1,-1,-1,-1
58,1,396,299,550,683,1,-1,-1,-1
59,1,396,299,550,683,1,-1,-1,-1
60,1,396,299,550,683,1,-1,-1,-1
